#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 16:35:06       0     16     40      -      0      0      0      0      0      0    405    180      0      0    186      9      0      -      -      0      1      2 
 16:35:07       0     16     40      -      0      0      0      0      0      0    405    180      0      0    186      9      0      -      -      0      1      1 
 16:35:08       0     13     40      -      0      0      0      0      0      0    405    180      0      0    186      9      0      -      -      0      1      1 
 16:35:10       0     15     39      -      0      0      0      0      0      0    405    180      0      0    186      9      0      -      -      0      1      3 
 16:35:11       0     12     39      -      0      0      0      0      0      0    405    180      0      0    204     11      0      -      -      0     48     40 
 16:35:12       0    140     50      -    100     75      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     23      3 
 16:35:13       0    231     51      -    100     75      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     18      6 
 16:35:14       0    231     52      -    100     76      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     16      4 
 16:35:15       0    232     53      -    100     76      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     22      5 
 16:35:16       0    232     53      -    100     77      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     14      3 
 16:35:17       0    232     53      -    100     76      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     32      5 
 16:35:18       0    232     53      -    100     76      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     11      3 
 16:35:19       0    232     53      -    100     76      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     33      5 
 16:35:20       0    232     53      -    100     75      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     11      4 
 16:35:21       0    232     52      -    100     74      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     33      5 
 16:35:22       0    232     52      -    100     73      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     11      3 
 16:35:23       0    232     52      -    100     72      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     34      5 
 16:35:24       0    233     52      -    100     70      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     12      3 
 16:35:25       0    232     52      -    100     70      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     33      6 
 16:35:26       0    232     52      -    100     72      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     14      3 
 16:35:27       0    233     52      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     28      7 
 16:35:28       0    232     52      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     17      4 
 16:35:29       0    232     53      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     30      3 
 16:35:31       0    232     54      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     17      6 
 16:35:32       0    233     54      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     20      6 
 16:35:33       0    232     55      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     18      6 
 16:35:34       0    233     55      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     17      3 
 16:35:35       0    233     55      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     28      5 
 16:35:36       0    233     55      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     14      4 
 16:35:37       0    233     55      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     33      5 
 16:35:38       0    233     54      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     11      3 
 16:35:39       0    233     54      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     33      4 
 16:35:40       0    233     53      -    100     73      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     16      3 
 16:35:41       0    233     53      -    100     71      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     33      4 
 16:35:42       0    233     54      -    100     70      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     10      4 
 16:35:43       0    233     53      -    100     72      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     34      5 
 16:35:44       0    233     53      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     16      5 
 16:35:45       0    233     53      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     29      4 
 16:35:46       0    233     54      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     16      6 
 16:35:47       0    233     54      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     20      2 
 16:35:48       0    233     55      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     17      6 
 16:35:49       0    233     56      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     20      4 
 16:35:50       0    234     56      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     17      6 
 16:35:52       0    233     56      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     21      4 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 16:35:53       0    234     56      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     22      7 
 16:35:54       0    233     55      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     20      3 
 16:35:55       0    234     55      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     17      6 
 16:35:56       0    233     54      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     22      3 
 16:35:57       0    234     54      -    100     72      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     16      6 
 16:35:58       0    234     55      -    100     70      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     21      3 
 16:35:59       0    234     54      -    100     70      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     20      6 
 16:36:00       0    233     54      -    100     72      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     21      3 
 16:36:01       0    234     54      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     20      6 
 16:36:02       0    234     55      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     18      3 
 16:36:03       0    234     55      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     25      5 
 16:36:04       0    234     55      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     15      4 
 16:36:05       0    234     56      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     24      7 
 16:36:06       0    234     56      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     19      3 
 16:36:07       0    234     56      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     32      5 
 16:36:08       0    234     57      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     10      3 
 16:36:09       0    234     56      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     33      6 
 16:36:10       0    234     56      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     17      6 
 16:36:11       0    234     55      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     24      4 
 16:36:12       0    234     55      -    100     73      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     18      6 
 16:36:14       0    234     55      -    100     71      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     22      5 
 16:36:15       0    234     55      -    100     70      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     20      6 
 16:36:16       0    234     55      -    100     72      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     14      4 
 16:36:17       0    234     55      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     29      5 
 16:36:18       0    234     55      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     12      5 
 16:36:19       0    234     55      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     32      4 
 16:36:20       0    234     56      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     12      5 
 16:36:21       0    234     56      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     32      4 
 16:36:22       0    234     57      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     15      5 
 16:36:23       0    234     57      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     32      3 
 16:36:24       0    234     57      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     16      4 
 16:36:25       0    234     58      -    100     76      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     31      3 
 16:36:26       0    234     57      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     16      4 
 16:36:27       0    104     47      -      0      0      0      0      0      0  14001   2857      0      0    186      9      0      -      -      0      0      0 
 16:36:28       0     52     46      -      0      0      0      0      0      0  13801   2857      0      0   1006     11      0      -      -      0     47      6 
 16:36:29       0    211     56      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      7 
 16:36:30       0    242     56      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      8 
 16:36:31       0    242     56      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      8 
 16:36:32       0    242     57      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     46     11 
 16:36:33       0    242     56      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      9 
 16:36:35       0    242     57      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      7 
 16:36:36       0    242     56      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     47      9 
 16:36:37       0    242     56      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      8 
 16:36:38       0    242     58      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     46      9 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 16:36:39       0    242     56      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     46      7 
 16:36:40       0    243     57      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     47      8 
 16:36:41       0    242     57      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     43      7 
 16:36:42       0    243     57      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      8 
 16:36:43       0    243     57      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     44      6 
 16:36:44       0    243     57      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     41      7 
 16:36:45       0    243     58      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      7 
 16:36:46       0    243     57      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      9 
 16:36:47       0    243     58      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     47      8 
 16:36:48       0    242     58      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     43      7 
 16:36:49       0    242     57      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     43      8 
 16:36:50       0    243     58      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      8 
 16:36:51       0    242     57      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      8 
 16:36:52       0    243     57      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     47      8 
 16:36:53       0    242     58      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     46      9 
 16:36:54       0    243     57      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     41      7 
 16:36:55       0    242     58      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     52      9 
 16:36:57       0    243     57      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     44      6 
 16:36:58       0    243     58      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      9 
 16:36:59       0    243     58      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     45      8 
 16:37:00       0    243     57      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      8 
 16:37:01       0    243     58      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     47      8 
 16:37:02       0    243     58      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     43      7 
 16:37:03       0    243     58      -    100     66      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     42      7 
 16:37:04       0    243     58      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     48      8 
 16:37:05       0    243     58      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     47      9 
 16:37:06       0    243     59      -    100     67      0      0      0      0  13801   2805      0      0   1006     11      0      -      -      0     42      7 
