#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 17:21:30       0    228     47      -    100     74      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     26     16 
 17:21:31       0    229     49      -    100     74      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     22      3 
 17:21:32       0    229     49      -    100     74      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     19      6 
 17:21:33       0    229     50      -    100     75      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     25     16 
 17:21:34       0    229     49      -    100     75      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     19      6 
 17:21:35       0    229     48      -    100     74      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     21      3 
 17:21:36       0    229     48      -    100     73      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     18     19 
 17:21:38       0    230     49      -    100     72      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     22      3 
 17:21:39       0    230     49      -    100     70      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     20      8 
 17:21:40       0    230     49      -    100     69      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     30      8 
 17:21:41       0    230     50      -    100     72      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     21      8 
 17:21:42       0    230     50      -    100     75      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     19      3 
 17:21:43       0    230     50      -     99     74      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     36      7 
 17:21:44       0    231     51      -    100     74      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     18      3 
 17:21:45       0    231     51      -     99     74      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     19      7 
 17:21:46       0    231     52      -    100     75      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     23     16 
 17:21:47       0    231     52      -    100     74      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     19      6 
 17:21:48       0    231     51      -    100     74      0      0      0      0  13801   2835      0      0   5488     11      0      -      -      0     21      3 
 17:21:49       0    231     51      -    100     73      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     22     18 
 17:21:50       0    231     51      -    100     72      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     20      3 
 17:21:51       0    231     51      -    100     70      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     23      6 
 17:21:52       0    231     51      -    100     69      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     21     19 
 17:21:53       0    231     51      -    100     70      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     18      5 
 17:21:54       0    231     51      -    100     73      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     26      8 
 17:21:55       0    231     52      -    100     75      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     19     23 
 17:21:56       0    232     53      -    100     74      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     30      5 
 17:21:57       0    232     53      -    100     74      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     12      6 
 17:21:58       0    232     53      -    100     74      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     32     12 
 17:22:00       0    232     54      -    100     75      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     11      3 
 17:22:01       0    232     53      -    100     74      0      0      0      0  13801   2827      0      0   5488     11      0      -      -      0     37      4 
 17:22:02       0    232     52      -    100     73      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     10      7 
 17:22:03       0    232     52      -    100     72      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     31      4 
 17:22:04       0    232     52      -    100     69      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     13      6 
 17:22:05       0    232     52      -    100     69      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     21      5 
 17:22:06       0    232     53      -    100     72      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     16      4 
 17:22:07       0    232     53      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     20      6 
 17:22:08       0    232     54      -     99     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     20      3 
 17:22:09       0    232     55      -     99     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     19      6 
 17:22:10       0    232     55      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     20      3 
 17:22:11       0    232     55      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     19      6 
 17:22:12       0    232     54      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     22      3 
 17:22:13       0    233     53      -    100     72      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     19      5 
 17:22:14       0    233     54      -    100     71      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     27      4 
 17:22:15       0    233     53      -    100     69      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     16      4 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 17:22:16       0    233     54      -    100     70      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     32      4 
 17:22:17       0    233     54      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     10      5 
 17:22:18       0    233     55      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     30      5 
 17:22:19       0    233     56      -    100     73      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     14      5 
 17:22:20       0    233     56      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     29      5 
 17:22:22       0    233     56      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     17      6 
 17:22:23       0    233     55      -    100     74      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     23      6 
 17:22:24       0    233     54      -    100     73      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     15      3 
 17:22:25       0    233     54      -    100     72      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     21      6 
 17:22:26       0    233     54      -    100     69      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     16      3 
 17:22:27       0    233     54      -    100     68      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     21      9 
 17:22:28       0    233     55      -    100     72      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     20      2 
 17:22:29       0    233     55      -    100     75      0      0      0      0  13801   2820      0      0   5488     11      0      -      -      0     19      6 
