#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 15:00:09       0     11     27      -      0      0      0      0      0      0    405    180      0      0      2      1      0      -      -      0      0      2 
 15:00:10       0     11     27      -      0      0      0      0      0      0    405    180      0      0      2      1      0      -      -      0      0      0 
 15:00:11       0     11     27      -      0      0      0      0      0      0    405    180      0      0      2      1      0      -      -      0      0      2 
 15:00:12       0     11     27      -      0      0      0      0      0      0    405    180      0      0      4      2      0      -      -      0      0      0 
 15:00:13       0    112     37      -    100     82      0      0      0      0  13801   2820      0      0   5304      4      0      -      -      0     19      7 
 15:00:14       0    225     39      -    100     82      0      0      0      0  13801   2842      0      0   5304      4      0      -      -      0     14      3 
 15:00:15       0    225     40      -    100     81      0      0      0      0  13801   2842      0      0   5304      4      0      -      -      0     33      4 
 15:00:16       0    225     41      -    100     81      0      0      0      0  13801   2842      0      0   5304      4      0      -      -      0     11      4 
 15:00:17       0    226     42      -    100     80      0      0      0      0  13801   2842      0      0   5304      4      0      -      -      0     28      4 
 15:00:18       0    226     41      -    100     80      0      0      0      0  13801   2842      0      0   5304      4      0      -      -      0     16      6 
 15:00:19       0    226     42      -    100     80      0      0      0      0  13801   2842      0      0   5304      4      0      -      -      0     24      4 
 15:00:20       0    226     42      -    100     80      0      0      0      0  13801   2842      0      0   5304      4      0      -      -      0     17      8 
 15:00:22       0    227     43      -    100     81      0      0      0      0  13801   2842      0      0   5304      4      0      -      -      0     14      5 
 15:00:23       0    227     42      -    100     82      0      0      0      0  13801   2842      0      0   5304      4      0      -      -      0     33      4 
 15:00:24       0    227     43      -    100     84      0      0      0      0  13801   2835      0      0   5304      4      0      -      -      0     16      4 
 15:00:25       0    227     43      -    100     85      0      0      0      0  13801   2835      0      0   5304      4      0      -      -      0     32      5 
 15:00:26       0    227     44      -    100     85      0      0      0      0  13801   2835      0      0   5304      4      0      -      -      0     16      5 
 15:00:27       0    227     44      -    100     86      0      0      0      0  13801   2835      0      0   5304      4      0      -      -      0     34      6 
 15:00:28       0    227     45      -    100     86      0      0      0      0  13801   2835      0      0   5304      4      0      -      -      0     16      5 
 15:00:29       0    227     45      -    100     85      0      0      0      0  13801   2835      0      0   5304      4      0      -      -      0     28      4 
 15:00:30       0    228     45      -    100     85      0      0      0      0  13801   2835      0      0   5304      4      0      -      -      0     16      7 
 15:00:31       0    227     46      -    100     85      0      0      0      0  13801   2835      0      0   5304      4      0      -      -      0     18      4 
 15:00:32       0    227     46      -    100     85      0      0      0      0  13801   2835      0      0   5304      4      0      -      -      0     29      5 
