#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 15:33:21       0     27     48      -      0      0      0      0      0      0   7001    180      0      0      2      1      0      -      -      0      0      0 
 15:33:22       0     27     47      -      0      0      0      0      0      0   7001    180      0      0      2      1      0      -      -      0      0      2 
 15:33:23       0     18     47      -      0      0      0      0      0      0    810    180      0      0      2      1      0      -      -      0      0      0 
 15:33:24       0     14     46      -      0      0      0      0      0      0    405    180      0      0      4      2      0      -      -      0      1      0 
 15:33:25       0     21     47      -      2      0      0      0      0      0  13801   2287      0      0   1078      8      0      -      -      0     11      6 
 15:33:26       0    158     56      -    100     92      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     40      9 
 15:33:27       0    257     58      -    100     89      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     26      8 
 15:33:28       0    258     58      -    100     88      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     42     12 
 15:33:29       0    258     58      -    100     89      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     25      8 
 15:33:30       0    259     59      -    100     90      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     42     12 
 15:33:31       0    259     59      -    100     88      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     25     28 
 15:33:33       0    259     59      -    100     89      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     45      7 
 15:33:34       0    258     61      -    100     89      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     29      7 
 15:33:35       0    259     60      -    100     90      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     54      7 
 15:33:36       0    259     61      -    100     93      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     26      8 
 15:33:37       0    259     60      -    100     91      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     38      7 
 15:33:38       0    260     60      -    100     89      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     27      8 
 15:33:39       0    259     59      -    100     88      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     37      7 
 15:33:40       0    259     60      -    100     89      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     30      6 
 15:33:41       0    259     60      -    100     89      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     41      8 
 15:33:42       0    259     60      -    100     88      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     32      8 
 15:33:43       0    259     60      -    100     89      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     49      8 
 15:33:44       0    259     61      -    100     89      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     31      7 
 15:33:45       0    260     61      -    100     91      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     38      7 
 15:33:46       0    260     61      -    100     93      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     35     12 
 15:33:47       0    259     61      -    100     90      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     36      7 
 15:33:48       0    260     60      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     28      9 
 15:33:49       0    260     60      -    100     89      0      0      0      0  13801   2820      0      0   5934      8      0      -      -      0     32      6 
 15:33:50       0    260     61      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     27     10 
 15:33:51       0    260     60      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     32      6 
 15:33:53       0    260     61      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     26     10 
 15:33:54       0    260     62      -    100     88      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     33      7 
 15:33:55       0    259     62      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     38      8 
 15:33:56       0    260     61      -    100     92      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     35      7 
 15:33:57       0    259     61      -    100     93      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     35      7 
 15:33:58       0    260     60      -    100     90      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     32      8 
 15:33:59       0    260     60      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     27      9 
 15:34:00       0    260     60      -    100     88      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     34      7 
 15:34:01       0    260     61      -    100     90      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     28     12 
 15:34:02       0    261     61      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     39      6 
 15:34:03       0    260     60      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     27      8 
 15:34:04       0    260     62      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     33     16 
 15:34:05       0    260     62      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     29     11 
 15:34:06       0    260     61      -    100     92      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     34      7 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 15:34:07       0    260     61      -    100     93      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     32     11 
 15:34:08       0    260     60      -    100     90      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     29      6 
 15:34:09       0    260     61      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     32     11 
 15:34:10       0    261     60      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     34      7 
 15:34:11       0    261     60      -    100     90      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     27     10 
 15:34:12       0    260     61      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     34      6 
 15:34:14       0    261     60      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     27      8 
 15:34:15       0    261     61      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     33      6 
 15:34:16       0    260     63      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     26      9 
 15:34:17       0    260     62      -    100     91      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     31      7 
 15:34:18       0    260     61      -    100     93      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     34      7 
 15:34:19       0    260     61      -    100     91      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     34      7 
 15:34:20       0    261     61      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     35      7 
 15:34:21       0    261     61      -    100     88      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     34      8 
 15:34:22       0    261     61      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     38      7 
 15:34:23       0    261     61      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     43      8 
 15:34:24       0    260     61      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     33      6 
 15:34:25       0    261     62      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     40      7 
 15:34:26       0    261     63      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     29      5 
 15:34:27       0    260     62      -    100     92      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     43      8 
 15:34:28       0    260     62      -    100     92      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     26      6 
 15:34:29       0    261     61      -    100     91      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     43      9 
 15:34:30       0    261     61      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     24      7 
 15:34:31       0    261     62      -    100     88      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     40      9 
 15:34:32       0    261     62      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     28      8 
 15:34:33       0    261     63      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     32     10 
 15:34:34       0    261     61      -    100     88      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     32      7 
 15:34:36       0    261     61      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     29      9 
 15:34:37       0    261     64      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     33      6 
 15:34:38       0    261     63      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     33      8 
 15:34:39       0    261     62      -    100     93      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     34      8 
 15:34:40       0    261     62      -    100     93      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     34      7 
 15:34:41       0    261     62      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     34      7 
 15:34:42       0    261     61      -    100     88      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     35      7 
 15:34:43       0    261     62      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     40      8 
 15:34:44       0    261     63      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     33      8 
 15:34:45       0    261     61      -    100     88      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     44      8 
 15:34:46       0    261     62      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     34     14 
 15:34:47       0    261     63      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     34      9 
 15:34:48       0    261     64      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     34      8 
 15:34:49       0    261     62      -    100     93      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     39     19 
 15:34:50       0    261     62      -    100     92      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     37      7 
 15:34:51       0    261     61      -    100     90      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     37      7 
 15:34:52       0    262     62      -    100     88      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     51      8 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 15:34:53       0    261     63      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     41      7 
 15:34:54       0    262     64      -    100     88      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     34      8 
 15:34:55       0    261     63      -    100     88      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     41     10 
 15:34:56       0    261     62      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     33      7 
 15:34:58       0    261     63      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     44      8 
 15:34:59       0    261     64      -    100     89      0      0      0      0  13801   2805      0      0   5934      8      0      -      -      0     26      8 
 15:35:00       0    258     63      -    100     91      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     40      8 
 15:35:01       0    256     62      -    100     93      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     24     11 
 15:35:02       0    256     62      -    100     91      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     48      8 
 15:35:03       0    256     62      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     25      7 
 15:35:04       0    256     61      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     42      8 
 15:35:05       0    257     63      -    100     89      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     32      7 
 15:35:06       0    257     63      -    100     88      0      0      0      0  13801   2812      0      0   5934      8      0      -      -      0     44      7 
