t,gpu,pwr,gtemp,mtemp,sm,mem,enc,dec,jpg,ofa,mclk,pclk,pviol,tviol,fb,bar1,ccpm,sbecc,dbecc,pci,rxpci,txpci
17:25:45,0,14,25,-,0,0,0,0,0,0,405,172,0,0,2,1,0,-,-,0,1,1
17:25:46,0,11,25,-,0,0,0,0,0,0,405,180,0,0,2,1,0,-,-,0,1,1
17:25:47,0,11,25,-,0,0,0,0,0,0,405,180,0,0,2,1,0,-,-,0,1,1
17:25:48,0,11,25,-,0,0,0,0,0,0,405,180,0,0,2,1,0,-,-,0,1,1
17:25:49,0,11,25,-,0,1,0,0,0,0,405,180,0,0,2,1,0,-,-,0,16,16
17:25:50,0,16,26,-,6,1,0,0,0,0,13801,1132,0,0,3016,4,0,-,-,0,27,9
17:25:52,0,178,38,-,100,72,0,0,0,0,13801,2850,0,0,3016,4,0,-,-,0,30,9
17:25:53,0,219,40,-,100,74,0,0,0,0,13801,2850,0,0,3016,4,0,-,-,0,31,8
17:25:54,0,220,40,-,100,76,0,0,0,0,13801,2850,0,0,3016,4,0,-,-,0,32,8
17:25:55,0,220,40,-,100,78,0,0,0,0,13801,2850,0,0,3016,4,0,-,-,0,30,9
17:25:56,0,184,41,-,100,86,0,0,0,0,13801,2842,0,0,5322,4,0,-,-,0,15,5
17:25:57,0,226,42,-,100,86,0,0,0,0,13801,2842,0,0,5322,4,0,-,-,0,32,3
17:25:58,0,226,42,-,100,86,0,0,0,0,13801,2842,0,0,5322,4,0,-,-,0,17,5
17:25:59,0,226,43,-,100,86,0,0,0,0,13801,2842,0,0,5322,4,0,-,-,0,29,6
17:26:00,0,226,43,-,100,86,0,0,0,0,13801,2842,0,0,5322,4,0,-,-,0,17,6
17:26:01,0,227,43,-,100,86,0,0,0,0,13801,2842,0,0,5322,4,0,-,-,0,21,2
17:26:02,0,227,43,-,100,86,0,0,0,0,13801,2842,0,0,5322,4,0,-,-,0,18,6
17:26:03,0,227,44,-,100,86,0,0,0,0,13801,2842,0,0,5322,4,0,-,-,0,15,4
17:26:04,0,227,44,-,100,86,0,0,0,0,13801,2842,0,0,5322,4,0,-,-,0,29,8
17:26:05,0,191,35,-,18,13,0,0,0,0,13801,2865,0,0,10066,4,0,-,-,0,12,2
17:26:06,0,219,43,-,100,86,0,0,0,0,13801,2842,0,0,10066,4,0,-,-,0,8,3
