#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 15:24:35       0     11     27      -      0      0      0      0      0      0    405    180      0      0      4      1      0      -      -      0      1      1 
 15:24:36       0     11     27      -      0      1      0      0      0      0    405    180      0      0      4      1      0      -      -      0      1      1 
 15:24:37       0     11     27      -      0      0      0      0      0      0    405    180      0      0      4      1      0      -      -      0      1      1 
 15:24:38       0     11     27      -      0      0      0      0      0      0    405    180      0      0      4      1      0      -      -      0      0      0 
 15:24:39       0     13     27      -      0      0      0      0      0      0    405    180      0      0      4      1      0      -      -      0      1      1 
 15:24:41       0     13     28      -      0      0      0      0      0      0  14001    180      0      0   2456      4      0      -      -      0     62      5 
 15:24:42       0    237     43      -    100     64      0      0      0      0  13801   2827      0      0   2456      4      0      -      -      0     22      7 
 15:24:43       0    238     44      -    100     64      0      0      0      0  13801   2820      0      0   2456      4      0      -      -      0     38      7 
 15:24:44       0    238     45      -     99     63      0      0      0      0  13801   2820      0      0   2456      4      0      -      -      0     46      6 
 15:24:45       0    238     44      -    100     63      0      0      0      0  13801   2812      0      0   2456      4      0      -      -      0     63      5 
 15:24:46       0    239     45      -    100     63      0      0      0      0  13801   2812      0      0   2456      4      0      -      -      0     16      9 
 15:24:47       0    239     45      -    100     63      0      0      0      0  13801   2812      0      0   2456      4      0      -      -      0     38      7 
 15:24:48       0    239     44      -    100     63      0      0      0      0  13801   2812      0      0   2456      4      0      -      -      0     49      5 
 15:24:49       0    169     34      -      0      0      0      0      0      0  13801   2865      0      0      4      1      0      -      -      0      0      0 
 15:24:50       0     49     33      -      0      0      0      0      0      0  14001   2880      0      0    588      4      0      -      -      0      7      1 
 15:24:51       0    102     43      -     99     65      0      0      0      0  13801   2730      0      0   3140      4      0      -      -      0     33      5 
 15:24:52       0    243     46      -    100     62      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0     35      5 
 15:24:53       0    244     46      -    100     64      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0     40      5 
 15:24:54       0    245     47      -    100     61      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0     82      6 
 15:24:55       0    245     46      -    100     62      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0     87      7 
 15:24:56       0    245     46      -     99     65      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0     71      7 
 15:24:57       0    245     46      -    100     66      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0     70      8 
 15:24:58       0    246     48      -    100     62      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0     79      7 
 15:24:59       0    246     48      -    100     60      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0     34     11 
 15:25:00       0    246     47      -    100     64      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0     13     11 
 15:25:02       0    245     47      -    100     66      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0     17     26 
 15:25:03       0    246     49      -    100     63      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0     17      9 
 15:25:04       0    246     49      -    100     61      0      0      0      0  13801   2812      0      0   3140      4      0      -      -      0      0      0 
 15:25:05       0     50     36      -      0      0      0      0      0      0  14001   2865      0      0      4      1      0      -      -      0     45     28 
 15:25:06       0     79     37      -     34     16      0      0      0      0  13801   2707      0      0    434      4      0      -      -      0      0      0 
 15:25:07       0     49     35      -      0      0      0      0      0      0  14001   2865      0      0      4      1      0      -      -      0     27      0 
 15:25:08       0     73     43      -     98     64      0      0      0      0  13801   2797      0      0    826      4      0      -      -      0     44      8 
 15:25:09       0    189     36      -      0      0      0      0      0      0  13801   2850      0      0      4      1      0      -      -      0      0      0 
 15:25:10       0     50     35      -      0      0      0      0      0      0  14001   2865      0      0    700      4      0      -      -      0    956      0 
 15:25:11       0     73     41      -    100     80      0      0      0      0  13801   2587      0      0   2746      4      0      -      -      0     25      5 
 15:25:12       0    211     43      -    100     80      0      0      0      0  13801   2835      0      0   2746      4      0      -      -      0     27      5 
 15:25:13       0    212     43      -    100     80      0      0      0      0  13801   2827      0      0   2746      4      0      -      -      0     29      6 
 15:25:14       0    211     44      -     99     80      0      0      0      0  13801   2827      0      0   2746      4      0      -      -      0      0      0 
 15:25:15       0     50     36      -      0      0      0      0      0      0  14001   2865      0      0      4      1      0      -      -      0      0      9 
 15:25:16       0     48     35      -      0      0      0      0      0      0  13801   2587      0      0    504      8      0      -      -      0      8      3 
 15:25:17       0    180     45      -     98     55      0      0      0      0  13801   2842      0      0    784      6      0      -      -      0     39      7 
 15:25:18       0    110     36      -      0      0      0      0      0      0  13801   2865      0      0     63      4      0      -      -      0      0      0 
 15:25:19       0     50     36      -      0      0      0      0      0      0  13801   2865      0      0   2474      8      0      -      -      0     42     13 
 15:25:20       0    195     48      -    100     73      0      0      0      0  13801   2820      0      0   3086      8      0      -      -      0     49      8 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 15:25:21       0    253     46      -    100     53      0      0      0      0  13801   2835      0      0   2414      6      0      -      -      0     31      5 
 15:25:22       0    212     46      -    100     53      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     21      7 
 15:25:24       0    213     46      -    100     52      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     16      7 
 15:25:25       0    213     47      -    100     52      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     25      7 
 15:25:26       0    213     47      -    100     53      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     11      7 
 15:25:27       0    213     46      -    100     53      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     16      4 
 15:25:28       0    213     47      -    100     53      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     26      4 
 15:25:29       0    213     47      -    100     52      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     27      3 
 15:25:30       0    187     39      -      0      0      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0      0      2 
 15:25:31       0     50     37      -      0      0      0      0      0      0  13801   2865      0      0    190      6      0      -      -      0      0      0 
 15:25:32       0     93     45      -     75     33      0      0      0      0  13801   2857      0      0   3378      8      0      -      -      0    108      9 
 15:25:33       0    205     48      -    100     51      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     19      7 
 15:25:34       0    216     48      -    100     52      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     19     15 
 15:25:35       0    216     48      -    100     53      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     26      5 
 15:25:36       0    216     47      -    100     53      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     19      9 
 15:25:37       0    216     47      -    100     54      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     17      6 
 15:25:38       0    217     48      -    100     53      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     22      5 
 15:25:39       0    217     48      -    100     49      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     27      6 
 15:25:40       0    217     48      -    100     48      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     14      4 
 15:25:41       0    217     49      -    100     50      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     22      5 
 15:25:42       0    217     49      -    100     51      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     44      6 
 15:25:43       0    217     49      -    100     52      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     11      7 
 15:25:44       0    217     49      -    100     52      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     21      5 
 15:25:46       0    217     49      -     99     53      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     27      6 
 15:25:47       0    217     49      -    100     54      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     11      6 
 15:25:48       0    217     49      -    100     53      0      0      0      0  13801   2850      0      0   3098      6      0      -      -      0     21      4 
 15:25:49       0    138     40      -      5      4      0      0      0      0  13801   2872      0      0     63      4      0      -      -      0      0      0 
 15:25:50       0     51     39      -      0      0      0      0      0      0  13801   2865      0      0    224      6      0      -      -      0     31     52 
 15:25:51       0    152     48      -    100     51      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     27      6 
 15:25:52       0    214     49      -    100     53      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     27      5 
 15:25:53       0    214     50      -    100     54      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     26      4 
 15:25:54       0    215     49      -    100     53      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     18      7 
 15:25:55       0    215     49      -    100     53      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     13     10 
 15:25:56       0    215     49      -    100     53      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     11      6 
 15:25:57       0    215     49      -    100     53      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     18      4 
 15:25:58       0    215     49      -    100     53      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     26      4 
 15:25:59       0    215     50      -     99     52      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     26      6 
 15:26:00       0    159     41      -      0      0      0      0      0      0  13801   2865      0      0     63      4      0      -      -      0      0      0 
 15:26:01       0     51     40      -      0      0      0      0      0      0  13801   2865      0      0    280      8      0      -      -      0    170    751 
 15:26:02       0    122     48      -    100     82      0      0      0      0  13801   2842      0      0   3376      8      0      -      -      0     37      5 
 15:26:03       0    238     50      -    100     83      0      0      0      0  13801   2827      0      0   3376      8      0      -      -      0     39     12 
 15:26:04       0    227     48      -     99     72      0      0      0      0  13801   2850      0      0   2704      6      0      -      -      0     31     14 
 15:26:05       0    201     48      -    100     73      0      0      0      0  13801   2850      0      0   2704      6      0      -      -      0     25      6 
 15:26:06       0    200     43      -     88     67      0      0      0      0  13801   2850      0      0     63      4      0      -      -      0      0      0 
#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 15:26:07       0     51     40      -      0      0      0      0      0      0  13801   2872      0      0     63      4      0      -      -      0      0     16 
 15:26:09       0     62     49      -     58     37      0      0      0      0  13801   2865      0      0   2508      6      0      -      -      0     14      7 
 15:26:10       0    242     52      -    100     63      0      0      0      0  13801   2812      0      0   2508      6      0      -      -      0     18      8 
 15:26:11       0    243     52      -    100     63      0      0      0      0  13801   2812      0      0   2508      6      0      -      -      0     23     13 
 15:26:12       0    243     52      -    100     63      0      0      0      0  13801   2805      0      0   2508      6      0      -      -      0     35      3 
 15:26:13       0    244     52      -    100     64      0      0      0      0  13801   2805      0      0   2508      6      0      -      -      0     32      4 
 15:26:14       0    244     52      -    100     64      0      0      0      0  13801   2805      0      0   2508      6      0      -      -      0     14      7 
 15:26:15       0    244     52      -    100     64      0      0      0      0  13801   2805      0      0   2508      6      0      -      -      0     18      7 
 15:26:16       0    244     52      -    100     64      0      0      0      0  13801   2805      0      0   2508      6      0      -      -      0      1      0 
 15:26:17       0     93     41      -      0      0      0      0      0      0  13801   2872      0      0     63      4      0      -      -      0     13      7 
 15:26:18       0     52     43      -      7      1      0      0      0      0  13801   2872      0      0   3086      8      0      -      -      0     45      6 
 15:26:19       0    223     53      -    100     74      0      0      0      0  13801   2820      0      0   3086      8      0      -      -      0     46      7 
 15:26:20       0    252     50      -    100     53      0      0      0      0  13801   2842      0      0   2414      6      0      -      -      0     22      5 
 15:26:21       0    216     51      -    100     52      0      0      0      0  13801   2850      0      0   2414      6      0      -      -      0     27      7 
