#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 18:03:04       0     25     37      -      0      0      0      0      0      0   7001    172      0      0      2      1      0      -      -      0      0      1 
 18:03:05       0     25     37      -      0      0      0      0      0      0   7001    180      0      0      2      1      0      -      -      0      0      0 
 18:03:06       0     24     37      -      0      0      0      0      0      0    810    180      0      0      2      1      0      -      -      0      0      0 
 18:03:07       0     14     37      -      0      0      0      0      0      0    405    180      0      0      5      2      0      -      -      0      0      0 
 18:03:08       0     15     37      -      0      0      0      0      0      0    405    180      0      0      5      2      0      -      -      0      1      2 
 18:03:09       0     12     36      -      0      0      0      0      0      0    405    180      0      0      5      2      0      -      -      0      1      1 
 18:03:10       0     17     37      -      8      1      0      0      0      0  13801   1702      0      0   5908      4      0      -      -      0      5      4 
 18:03:11       0    119     46      -     66     18      0      0      0      0  13801   2812      0      0   6818      4      0      -      -      0     24      3 
 18:03:12       0    172     42      -     17     11      0      0      0      0  13801   2835      0      0   6818      4      0      -      -      0      4      3 
 18:03:13       0    180     50      -    100     28      0      0      0      0  13801   2820      0      0   6818      4      0      -      -      0   1103      4 
 18:03:14       0    185     50      -    100     22      0      0      0      0  13801   2812      0      0   6818      4      0      -      -      0     11      4 
 18:03:16       0    181     48      -     67     18      0      0      0      0  13801   2812      0      0   6818      4      0      -      -      0     12      1 
 18:03:17       0    171     43      -      7      6      0      0      0      0  13801   2835      0      0   6818      4      0      -      -      0     20      6 
 18:03:18       0    185     50      -     58     22      0      0      0      0  13801   2827      0      0   6818      4      0      -      -      0      9      2 
 18:03:19       0    184     51      -    100     21      0      0      0      0  13801   2820      0      0   6818      4      0      -      -      0      0      2 
 18:03:20       0    187     51      -    100     20      0      0      0      0  13801   2812      0      0   6818      4      0      -      -      0     23      3 
 18:03:21       0    183     49      -     73     19      0      0      0      0  13801   2812      0      0   6818      4      0      -      -      0      7      2 
