#Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 19:23:14       0     26     43      -      0      0      0      0      0      0   7001    292      0      0      2      1      0      -      -      0      0      1 
 19:23:15       0     26     43      -      0      0      0      0      0      0   7001    292      0      0      2      1      0      -      -      0      0      0 
 19:23:16       0     26     43      -      0      0      0      0      0      0   7001    180      0      0      2      1      0      -      -      0      0      0 
 19:23:17       0     25     42      -      0      0      0      0      0      0    810    180      0      0      2      1      0      -      -      0      0      0 
 19:23:18       0     20     42      -      0      0      0      0      0      0    810    180      0      0      2      1      0      -      -      0      0      1 
 19:23:19       0     15     42      -      0      0      0      0      0      0    405    180      0      0      2      1      0      -      -      0     18     12 
 19:23:20       0     28     44      -     22     15      0      0      0      0  13801   2625      0      0   9605      6      0      -      -      0     30      8 
 19:23:21       0    128     49      -     62     26      0      0      0      0  13801   2842      0      0  10355      6      0      -      -      0      0     98 
 19:23:22       0    198     54      -    100     30      0      0      0      0  13801   2812      0      0  10355      6      0      -      -      0     11      0 
 19:23:23       0    206     55      -     95     45      0      0      0      0  13801   2820      0      0  10355      6      0      -      -      0     89      2 
 19:23:24       0    199     55      -    100     41      0      0      0      0  13801   2820      1      0  10355      6      0      -      -      0    170    101 
 19:23:25       0    204     48      -     39     28      0      0      0      0  13801   2827      0      0  10355      6      0      -      -      0    127     48 
 19:23:26       0    213     53      -    100     42      0      0      0      0  13801   2805      0      0  10355      6      0      -      -      0     11      3 
 19:23:27       0    198     56      -    100     30      0      0      0      0  13801   2812      0      0  10355      6      0      -      -      0     22    145 
 19:23:29       0    199     53      -     56     24      0      0      0      0  13801   2812      0      0  10355      6      0      -      -      0      0      0 
 19:23:30       0    200     54      -     78     39      0      0      0      0  13801   2812      0      0  10355      6      0      -      -      0      2     95 
 19:23:31       0    201     56      -    100     38      0      0      0      0  13801   2805      0      0  10355      6      0      -      -      0   1203    125 
 19:23:32       0    203     57      -    100     47      0      0      0      0  13801   2812      0      0  10355      6      0      -      -      0    140      3 
 19:23:33       0    199     49      -     50     29      0      0      0      0  13801   2820      0      0  10355      6      0      -      -      0    105     34 
 19:23:34       0    199     54      -    100     25      0      0      0      0  13801   2797      0      0  10355      6      0      -      -      0      0     89 
 19:23:35       0    201     55      -    100     37      0      0      0      0  13801   2797      1      0  10355      6      0      -      -      0     12      0 
 19:23:36       0    198     56      -     98     39      0      0      0      0  13801   2812      0      0  10355      6      0      -      -      0   1117    103 
 19:23:37       0    200     49      -     25     15      0      0      0      0  13801   2820      0      0  10355      6      0      -      -      0   1219    118 
 19:23:38       0    210     55      -    100     41      0      0      0      0  13801   2797      0      0  10355      6      0      -      -      0   1148    102 
 19:23:39       0    200     56      -    100     38      0      0      0      0  13801   2812      0      0  10355      6      0      -      -      0    183     79 
 19:23:40       0    196     48      -     42     24      0      0      0      0  13801   2820      0      0  10355      6      0      -      -      0     12      0 
 19:23:41       0    201     54      -     97     32      0      0      0      0  13801   2797      0      0  10355      6      0      -      -      0     12      0 
 19:23:42       0    202     56      -    100     27      0      0      0      0  13801   2805      0      0  10355      6      0      -      -      0      4      2 
 19:23:43       0    203     56      -     92     45      0      0      0      0  13801   2820      0      0  10355      6      0      -      -      0     10      2 
 19:23:44       0    201     50      -     66     32      0      0      0      0  13801   2820      0      0  10355      6      0      -      -      0     11    137 
 19:23:45       0    205     55      -    100     29      0      0      0      0  13801   2797      0      0  10355      6      0      -      -      0    170    107 
 19:23:46       0    203     56      -    100     40      0      0      0      0  13801   2797      0      0  10355      6      0      -      -      0     21     91 
